,id,user_id,view_id,room_id,roomuser_id,participant_id,deleted_at,updated_at,registered_at
39,58,61,57,195,197,9e5efdb7,2022-02-15 02:32:07.739,2022-02-15 02:32:07.739,2022-02-15 02:26:30.909
40,59,61,58,195,197,b141edbb,2022-02-15 02:32:07.714,2022-02-15 02:32:07.714,2022-02-15 02:26:43.931
41,60,94,59,195,198,7b8466ab,2022-02-15 02:28:27.739,2022-02-15 02:28:27.739,2022-02-15 02:28:19.205
42,61,735,60,197,202,c2c3bc4a,2022-02-15 02:30:23.096,2022-02-15 02:30:23.097,2022-02-15 02:28:25.286
43,62,735,61,197,202,e768465f,2022-02-15 02:32:00.133,2022-02-15 02:32:00.134,2022-02-15 02:28:49.287
44,63,94,62,197,203,91585bfe,2022-02-15 02:32:49.458,2022-02-15 02:32:49.458,2022-02-15 02:29:00.678
45,64,61,63,195,197,d9867457,2022-02-15 02:32:07.082,2022-02-15 02:32:07.082,2022-02-15 02:30:28.311
46,65,735,64,197,202,5a2eba90,2022-02-15 02:30:36.519,2022-02-15 02:30:36.519,2022-02-15 02:30:32.776
47,66,735,65,197,202,b60c4bc1,2022-02-15 02:30:43.057,2022-02-15 02:30:43.057,2022-02-15 02:30:40.305
48,67,735,66,197,202,7971abae,2022-02-15 02:30:46.167,2022-02-15 02:30:46.168,2022-02-15 02:30:44.399
49,68,735,67,198,204,bc144566,2022-02-15 02:49:34.329,2022-02-15 02:49:34.329,2022-02-15 02:45:40.614
50,69,2,68,199,205,93cad20d,2022-02-15 03:29:08.992,2022-02-15 03:29:08.992,2022-02-15 03:27:16.594
51,70,2,69,200,206,2f754421,2022-02-15 03:30:44.480,2022-02-15 03:30:44.480,2022-02-15 03:29:42.285
52,71,1893,70,201,207,761e6f67,2022-02-15 03:30:14.880,2022-02-15 03:30:14.880,2022-02-15 03:29:52.111
53,72,2,71,199,205,ef29d5a4,2022-02-15 03:30:40.585,2022-02-15 03:30:40.585,2022-02-15 03:30:10.118
54,73,1893,72,202,208,43fb2294,2022-02-15 03:31:36.437,2022-02-15 03:31:36.437,2022-02-15 03:30:20.730
55,74,1893,73,203,209,3f3ef4c0,2022-02-15 03:31:58.497,2022-02-15 03:31:58.497,2022-02-15 03:31:45.869
56,75,2,74,204,210,d093dff1,2022-02-15 03:32:00.825,2022-02-15 03:32:00.825,2022-02-15 03:31:55.260
57,77,9,76,205,212,2ce89a78,2022-02-15 04:45:41.222,2022-02-15 04:45:41.222,2022-02-15 04:44:37.046
58,79,1,78,206,213,711d3f7a,2022-02-15 04:46:58.820,2022-02-15 04:46:58.820,2022-02-15 04:46:51.209
59,80,1,79,206,213,b264d92b,2022-02-15 04:47:08.917,2022-02-15 04:47:08.917,2022-02-15 04:47:04.153
60,81,1,80,206,213,1817e830,2022-02-15 06:34:02.773,2022-02-15 06:34:02.773,2022-02-15 04:47:36.173
61,82,1,78,206,213,711d3f7a,2022-02-15 04:51:35.373,2022-02-15 04:51:35.373,2022-02-15 04:51:29.386
62,84,9,76,205,212,2ce89a78,2022-02-15 05:10:28.955,2022-02-15 05:10:28.955,2022-02-15 04:51:29.502
63,88,9,83,207,216,0fff7a1d,2022-02-15 05:11:48.286,2022-02-15 05:11:48.286,2022-02-15 05:11:33.541
64,89,9,84,207,216,878bc71f,2022-02-15 05:12:09.116,2022-02-15 05:12:09.116,2022-02-15 05:11:57.092
65,90,9,85,207,216,ac459852,2022-02-15 05:13:11.920,2022-02-15 05:13:11.920,2022-02-15 05:13:07.703
66,91,9,86,207,216,d545bc1b,2022-02-15 05:20:45.601,2022-02-15 05:20:45.601,2022-02-15 05:13:29.684
67,93,9,88,207,216,b4f0e517,2022-02-15 08:53:19.555,2022-02-15 08:53:19.555,2022-02-15 05:20:54.730
68,95,61,90,208,217,f89e2587,2022-02-15 06:41:44.975,2022-02-15 06:41:44.976,2022-02-15 06:38:37.220
69,96,735,91,209,218,51469e00,2022-02-15 08:10:01.754,2022-02-15 08:10:01.754,2022-02-15 08:09:58.107
70,97,735,92,209,218,86847ace,2022-02-15 08:22:54.619,2022-02-15 08:22:54.619,2022-02-15 08:10:09.688
71,99,850,94,195,199,33c506ac,2022-02-15 08:11:52.793,2022-02-15 08:11:52.793,2022-02-15 08:11:42.660
72,100,850,95,209,220,b7fe8630,2022-02-15 08:17:55.802,2022-02-15 08:17:55.802,2022-02-15 08:12:29.480
73,101,1,96,210,221,32e66af8,2022-02-15 08:13:27.702,2022-02-15 08:13:27.702,2022-02-15 08:13:05.924
74,102,850,97,209,220,9c0fa984,2022-02-15 08:44:35.666,2022-02-15 08:44:35.666,2022-02-15 08:18:20.561
75,104,735,99,209,218,a2356aa8,2022-02-15 08:31:22.916,2022-02-15 08:31:22.916,2022-02-15 08:23:38.074
76,105,735,100,209,218,53fcb7c0,2022-02-15 08:44:04.417,2022-02-15 08:44:04.417,2022-02-15 08:31:40.773
77,106,735,101,209,218,8f4b8c5e,2022-02-15 08:44:36.248,2022-02-15 08:44:36.248,2022-02-15 08:44:17.905
78,108,735,102,211,222,5ba53e4c,2022-02-15 09:03:50.143,2022-02-15 09:03:50.143,2022-02-15 09:01:50.438
79,110,735,104,211,222,53a63186,2022-02-15 09:03:59.432,2022-02-15 09:03:59.432,2022-02-15 09:03:53.644
80,111,735,105,213,224,66506ea4,2022-02-15 09:09:07.598,2022-02-15 09:09:07.598,2022-02-15 09:07:05.863
81,113,9,107,215,226,5b6795ac,2022-02-15 10:45:14.432,2022-02-15 10:45:14.432,2022-02-15 10:41:41.564
82,116,61,110,217,229,76dffc70,2022-02-15 14:15:47.275,2022-02-15 14:15:47.275,2022-02-15 11:52:46.181
83,117,6496,111,218,230,494f0934,2022-02-15 12:03:09.863,2022-02-15 12:03:09.863,2022-02-15 12:02:46.530
84,118,357,112,219,231,f9231799,2022-02-15 13:04:04.970,2022-02-15 13:04:04.970,2022-02-15 12:03:08.233
85,119,6496,113,220,232,928aadbd,2022-02-15 12:05:11.340,2022-02-15 12:05:11.340,2022-02-15 12:03:31.921
86,120,6496,114,220,232,d654eaff,2022-02-15 13:53:29.693,2022-02-15 13:53:29.693,2022-02-15 12:05:26.485
87,122,6498,116,220,234,b3ecee16,2022-02-15 14:41:55.681,2022-02-15 14:41:55.681,2022-02-15 12:06:30.102
88,124,9,118,222,236,f5278250,2022-02-15 12:15:50.128,2022-02-15 12:15:50.128,2022-02-15 12:08:20.811
89,125,441,119,217,237,84ebfb62,2022-02-15 12:52:06.529,2022-02-15 12:52:06.529,2022-02-15 12:09:40.274
90,126,94,120,223,238,b0100d9a,2022-02-15 12:33:00.519,2022-02-15 12:33:00.519,2022-02-15 12:10:33.704
91,128,850,122,225,240,f76593a8,2022-02-15 12:45:12.240,2022-02-15 12:45:12.240,2022-02-15 12:16:57.229
92,129,6574,123,220,241,ae88461a,2022-02-15 12:21:49.597,2022-02-15 12:21:49.597,2022-02-15 12:17:57.071
93,130,6526,124,226,242,f18fce71,2022-02-15 12:35:59.600,2022-02-15 12:35:59.600,2022-02-15 12:18:06.121
94,131,9,125,222,236,2cfd469f,2022-02-15 12:18:34.808,2022-02-15 12:18:34.808,2022-02-15 12:18:31.977
95,132,901,126,222,243,fe55fc39,2022-02-15 12:21:36.875,2022-02-15 12:21:36.875,2022-02-15 12:18:56.533
96,133,1,127,217,244,2be0892e,2022-02-15 12:19:25.545,2022-02-15 12:19:25.545,2022-02-15 12:19:00.827
97,134,1,128,219,245,57d22fad,2022-02-15 12:20:39.515,2022-02-15 12:20:39.515,2022-02-15 12:19:41.842
98,135,1893,129,227,246,08928bf0,2022-02-15 13:53:16.220,2022-02-15 13:53:16.220,2022-02-15 12:19:45.448
99,136,2,130,228,247,a77dd194,2022-02-15 12:20:37.147,2022-02-15 12:20:37.147,2022-02-15 12:19:48.685
100,137,2,131,229,248,0bb2a681,2022-02-15 12:22:17.547,2022-02-15 12:22:17.547,2022-02-15 12:21:17.609
101,138,1,132,227,249,ae1fc4bb,2022-02-15 12:24:16.790,2022-02-15 12:24:16.791,2022-02-15 12:22:22.023
102,139,2,133,230,250,12d8be53,2022-02-15 12:24:07.468,2022-02-15 12:24:07.469,2022-02-15 12:22:36.824
103,140,1,134,216,251,cfcc890f,2022-02-15 12:24:29.256,2022-02-15 12:24:29.257,2022-02-15 12:24:21.599
104,141,297,135,231,252,4ea2aa4c,2022-02-15 12:24:51.599,2022-02-15 12:24:51.600,2022-02-15 12:24:31.538
105,142,2,136,232,253,873f721e,2022-02-15 12:30:46.076,2022-02-15 12:30:46.076,2022-02-15 12:24:41.451
106,143,1,137,219,245,0fa4dd8e,2022-02-15 12:27:29.721,2022-02-15 12:27:29.721,2022-02-15 12:24:42.994
107,144,297,139,233,254,84eca87a,2022-02-15 12:26:04.795,2022-02-15 12:26:04.795,2022-02-15 12:25:20.053
108,145,44,140,185,255,1cc10875,2022-02-15 13:33:05.279,2022-02-15 13:33:05.279,2022-02-15 12:25:31.987
109,146,1961,141,234,256,3c6418df,2022-02-15 12:27:36.246,2022-02-15 12:27:36.246,2022-02-15 12:25:49.520
110,147,35,142,185,185,01c7a44d,2022-02-15 12:27:11.161,2022-02-15 12:27:11.161,2022-02-15 12:26:43.011
111,148,1961,143,235,257,8c45ceea,2022-02-15 12:29:27.224,2022-02-15 12:29:27.225,2022-02-15 12:26:54.601
112,149,4982,144,223,258,0f5a9c39,2022-02-15 12:28:33.328,2022-02-15 12:28:33.328,2022-02-15 12:27:18.027
113,150,1961,145,234,256,a50cb9d7,2022-02-15 12:27:44.263,2022-02-15 12:27:44.263,2022-02-15 12:27:41.588
114,151,1961,146,236,259,0288bf0e,2022-02-15 12:28:56.384,2022-02-15 12:28:56.384,2022-02-15 12:27:59.556
115,152,9,147,222,236,43ed7ea7,2022-02-15 12:29:07.287,2022-02-15 12:29:07.287,2022-02-15 12:28:04.428
116,153,6523,148,237,260,ed75c23c,2022-02-15 12:29:04.960,2022-02-15 12:29:04.960,2022-02-15 12:28:21.509
117,154,6593,149,238,261,e2f0b0bb,2022-02-15 12:29:03.507,2022-02-15 12:29:03.507,2022-02-15 12:28:43.662
118,155,6574,150,220,241,c8f18bd6,2022-02-15 14:40:20.658,2022-02-15 14:40:20.658,2022-02-15 12:28:48.496
119,157,1961,152,236,259,bc20dcba,2022-02-15 12:29:20.041,2022-02-15 12:29:20.041,2022-02-15 12:29:14.383
120,158,6523,153,230,263,28204881,2022-02-15 12:58:22.696,2022-02-15 12:58:22.696,2022-02-15 12:29:32.213
121,159,1961,154,239,264,3ed9b957,2022-02-15 12:30:18.780,2022-02-15 12:30:18.780,2022-02-15 12:29:38.097
122,160,6577,156,234,265,84f868bf,2022-02-15 13:05:16.606,2022-02-15 13:05:16.606,2022-02-15 12:29:48.594
123,161,4982,155,223,258,3548580e,2022-02-15 12:32:31.379,2022-02-15 12:32:31.379,2022-02-15 12:29:50.527
124,163,297,158,220,267,6dabb84e,2022-02-15 12:52:20.273,2022-02-15 12:52:20.273,2022-02-15 12:30:00.939
125,165,6570,159,224,269,c2863aea,2022-02-15 13:57:02.721,2022-02-15 13:57:02.721,2022-02-15 12:30:06.740
126,166,1961,162,234,256,612957ed,2022-02-15 12:32:24.129,2022-02-15 12:32:24.129,2022-02-15 12:30:19.400
127,167,6569,163,224,270,004ea66d,2022-02-15 14:00:38.466,2022-02-15 14:00:38.466,2022-02-15 12:30:25.343
128,168,6535,164,225,271,c39ed89d,2022-02-15 13:35:25.307,2022-02-15 13:35:25.307,2022-02-15 12:30:26.643
129,169,9,165,222,236,52f5b9e6,2022-02-15 13:34:11.175,2022-02-15 13:34:11.176,2022-02-15 12:30:29.448
130,170,6585,166,222,272,a22dad82,2022-02-15 14:02:51.074,2022-02-15 14:02:51.074,2022-02-15 12:30:32.798
131,172,6588,168,238,274,290d8e59,2022-02-15 13:39:20.979,2022-02-15 13:39:20.979,2022-02-15 12:30:36.854
132,173,6593,169,238,261,e2f0b0bb,2022-02-15 12:31:06.646,2022-02-15 12:31:06.647,2022-02-15 12:30:57.673
133,174,6540,170,225,275,0a17c5ef,2022-02-15 13:49:31.029,2022-02-15 13:49:31.030,2022-02-15 12:31:02.866
134,175,6591,171,219,276,467e0197,2022-02-15 12:31:16.637,2022-02-15 12:31:16.637,2022-02-15 12:31:10.485
135,176,901,172,222,243,a1f8e58d,2022-02-15 14:10:46.092,2022-02-15 14:10:46.092,2022-02-15 12:31:14.991
136,178,2,174,243,278,1c76cd37,2022-02-15 12:32:43.919,2022-02-15 12:32:43.919,2022-02-15 12:31:19.281
137,179,1423,175,244,279,cd888dec,2022-02-15 13:01:58.867,2022-02-15 13:01:58.867,2022-02-15 12:31:31.870
138,180,454,177,200,280,a0ac8338,2022-02-15 13:10:57.811,2022-02-15 13:10:57.811,2022-02-15 12:31:40.648
139,181,6593,178,238,261,a05ea2d5,2022-02-15 13:02:27.907,2022-02-15 13:02:27.907,2022-02-15 12:31:50.781
140,182,6591,179,219,276,c231f23d,2022-02-15 12:31:58.799,2022-02-15 12:31:58.800,2022-02-15 12:31:52.747
141,183,6591,180,219,276,8fd08c32,2022-02-15 12:32:27.192,2022-02-15 12:32:27.193,2022-02-15 12:32:21.327
142,184,1961,181,239,264,83d346f2,2022-02-15 12:36:29.126,2022-02-15 12:36:29.126,2022-02-15 12:32:28.352
143,187,4982,183,223,258,e55ef70c,2022-02-15 13:51:44.060,2022-02-15 13:51:44.060,2022-02-15 12:32:53.139
144,188,2,185,245,282,613d7261,2022-02-15 12:52:20.774,2022-02-15 12:52:20.775,2022-02-15 12:33:02.529
145,189,94,186,223,238,7912e5eb,2022-02-15 13:51:30.253,2022-02-15 13:51:30.254,2022-02-15 12:33:09.051
146,190,6504,188,227,283,7a677e3f,2022-02-15 13:01:04.842,2022-02-15 13:01:04.842,2022-02-15 12:33:28.609
147,191,4029,189,224,284,2c771bc6,2022-02-15 14:00:16.229,2022-02-15 14:00:16.229,2022-02-15 12:33:31.685
148,192,1961,190,234,256,e461251e,2022-02-15 14:01:17.887,2022-02-15 14:01:17.887,2022-02-15 12:33:45.272
149,193,2,191,243,278,9afa217b,2022-02-15 12:57:42.775,2022-02-15 12:57:42.776,2022-02-15 12:34:05.395
150,195,6509,193,234,286,b1aaa987,2022-02-15 14:01:34.906,2022-02-15 14:01:34.907,2022-02-15 12:34:31.211
151,196,6594,194,227,287,9cb72ce2,2022-02-15 13:53:15.204,2022-02-15 13:53:15.204,2022-02-15 12:34:34.296
152,197,6514,195,246,288,c5bd2908,2022-02-15 12:46:33.800,2022-02-15 12:46:33.801,2022-02-15 12:34:47.185
153,198,230,196,230,289,f3689ea4,2022-02-15 12:35:54.518,2022-02-15 12:35:54.518,2022-02-15 12:35:00.585
154,199,2100,197,189,290,cc196246,2022-02-15 14:03:20.415,2022-02-15 14:03:20.415,2022-02-15 12:35:13.853
155,200,6095,198,234,291,d58f56cb,2022-02-15 14:01:19.884,2022-02-15 14:01:19.885,2022-02-15 12:35:58.364
156,202,6579,200,234,293,59abea76,2022-02-15 14:01:37.334,2022-02-15 14:01:37.334,2022-02-15 12:36:12.978
157,203,735,201,248,294,684230fd,2022-02-15 13:08:54.008,2022-02-15 13:08:54.008,2022-02-15 12:36:13.904
158,204,230,202,230,289,73671698,2022-02-15 12:44:43.211,2022-02-15 12:44:43.211,2022-02-15 12:36:22.272
159,205,6587,203,247,295,2346fe88,2022-02-15 14:04:08.950,2022-02-15 14:04:08.950,2022-02-15 12:36:33.783
160,206,1961,204,239,264,34ba7186,2022-02-15 13:54:03.674,2022-02-15 13:54:03.674,2022-02-15 12:36:34.142
161,207,6591,205,219,276,813d341c,2022-02-15 12:59:35.454,2022-02-15 12:59:35.455,2022-02-15 12:36:39.596
162,209,6521,207,226,297,80b428e4,2022-02-15 12:40:24.235,2022-02-15 12:40:24.235,2022-02-15 12:36:54.380
163,210,6086,209,188,298,57c2aa9a,2022-02-15 13:46:06.229,2022-02-15 13:46:06.229,2022-02-15 12:37:18.366
164,211,6549,211,186,300,3986d361,2022-02-15 12:41:44.413,2022-02-15 12:41:44.413,2022-02-15 12:37:40.711
165,213,1,214,250,302,929c1222,2022-02-15 12:45:49.469,2022-02-15 12:45:49.469,2022-02-15 12:39:34.588
166,214,6596,215,247,303,32c8d4e1,2022-02-15 14:04:14.104,2022-02-15 14:04:14.104,2022-02-15 12:39:59.066
167,215,6521,216,226,297,8f6e8889,2022-02-15 12:45:38.746,2022-02-15 12:45:38.746,2022-02-15 12:41:10.876
168,218,6536,219,230,307,eb3826bd,2022-02-15 12:45:23.060,2022-02-15 12:45:23.060,2022-02-15 12:42:58.957
169,219,1621,221,254,308,9daf2c0c,2022-02-15 13:03:38.279,2022-02-15 13:03:38.279,2022-02-15 12:43:27.798
170,220,6534,220,225,309,b32521ac,2022-02-15 12:53:35.362,2022-02-15 12:53:35.362,2022-02-15 12:43:27.971
171,221,6564,222,248,310,e032eb8b,2022-02-15 13:08:56.517,2022-02-15 13:08:56.517,2022-02-15 12:43:43.055
172,222,10,223,242,311,6e7d8e6b,2022-02-15 14:24:39.082,2022-02-15 14:24:39.082,2022-02-15 12:43:44.902
173,223,230,225,230,289,d7334f02,2022-02-15 12:45:38.204,2022-02-15 12:45:38.205,2022-02-15 12:45:12.011
174,224,850,226,225,240,88d3951b,2022-02-15 13:04:29.933,2022-02-15 13:04:29.933,2022-02-15 12:45:15.954
175,225,1423,227,258,315,176fc3c5,2022-02-15 12:50:24.837,2022-02-15 12:50:24.837,2022-02-15 12:45:32.099
176,227,1,229,250,302,2a867724,2022-02-15 12:46:14.023,2022-02-15 12:46:14.023,2022-02-15 12:46:06.412
177,228,6514,230,245,317,79962fde,2022-02-15 14:51:07.001,2022-02-15 14:51:07.001,2022-02-15 12:46:31.486
178,229,1,231,250,302,aa4a50c9,2022-02-15 12:46:59.925,2022-02-15 12:46:59.925,2022-02-15 12:46:44.467
179,230,6539,232,243,318,9c5b2f26,2022-02-15 12:48:01.859,2022-02-15 12:48:01.859,2022-02-15 12:47:01.542
180,231,1,233,250,302,9874e8a5,2022-02-15 13:15:13.167,2022-02-15 13:15:13.167,2022-02-15 12:47:05.248
181,232,230,235,230,289,0e0b9cc1,2022-02-15 12:52:11.373,2022-02-15 12:52:11.373,2022-02-15 12:47:26.453
182,233,6547,236,186,320,3eef9165,2022-02-15 13:59:37.731,2022-02-15 13:59:37.731,2022-02-15 12:48:05.767
183,234,6494,238,228,321,c128a8fd,2022-02-15 13:06:10.077,2022-02-15 13:06:10.078,2022-02-15 12:48:31.442
184,235,6284,239,228,322,51546a57,2022-02-15 13:36:43.268,2022-02-15 13:36:43.268,2022-02-15 12:48:41.324
185,236,6539,240,243,318,52f488b3,2022-02-15 13:56:39.668,2022-02-15 13:56:39.668,2022-02-15 12:48:53.619
186,237,6598,241,185,324,d5385a38,2022-02-15 13:58:05.408,2022-02-15 13:58:05.408,2022-02-15 12:50:54.440
187,238,6549,242,186,300,3986d361,2022-02-15 12:52:06.327,2022-02-15 12:52:06.327,2022-02-15 12:51:29.575
188,239,1423,243,258,315,e253ea6a,2022-02-15 12:51:59.295,2022-02-15 12:51:59.296,2022-02-15 12:51:39.566
189,240,297,244,220,267,6dabb84e,2022-02-15 12:51:50.493,2022-02-15 12:51:50.493,2022-02-15 12:51:46.504
190,241,6529,245,243,325,3dfbe6c0,2022-02-15 17:12:51.535,2022-02-15 17:12:51.536,2022-02-15 12:51:48.329
191,242,297,246,220,267,d444f54d,2022-02-15 12:58:19.188,2022-02-15 12:58:19.189,2022-02-15 12:52:02.215
192,243,1423,247,258,315,f12a63db,2022-02-15 12:54:39.998,2022-02-15 12:54:39.998,2022-02-15 12:52:11.326
193,244,6518,248,204,326,d586b590,2022-02-15 12:57:10.127,2022-02-15 12:57:10.127,2022-02-15 12:52:23.173
194,247,441,251,217,237,37311d84,2022-02-15 14:21:58.478,2022-02-15 14:21:58.478,2022-02-15 12:52:45.498
195,248,6091,252,236,329,075223a9,2022-02-15 13:01:22.994,2022-02-15 13:01:22.994,2022-02-15 12:52:56.328
196,249,230,253,230,289,337c52db,2022-02-15 12:54:12.845,2022-02-15 12:54:12.845,2022-02-15 12:53:16.863
197,250,6552,254,191,330,de644c82,2022-02-15 13:04:47.597,2022-02-15 13:04:47.598,2022-02-15 12:54:27.407
198,251,6543,255,192,331,f6873d5d,2022-02-15 13:47:10.936,2022-02-15 13:47:10.936,2022-02-15 12:54:40.150
199,252,6536,256,230,307,adafcc18,2022-02-15 13:31:24.549,2022-02-15 13:31:24.549,2022-02-15 12:54:43.839
200,253,6534,257,225,309,97939c53,2022-02-15 12:57:04.830,2022-02-15 12:57:04.830,2022-02-15 12:54:47.717
201,254,6533,258,261,332,12500ebe,2022-02-15 12:55:22.074,2022-02-15 12:55:22.074,2022-02-15 12:55:08.111
202,257,230,261,230,289,89399da2,2022-02-15 13:09:25.236,2022-02-15 13:09:25.236,2022-02-15 12:56:20.618
203,258,1423,262,258,315,dbc32754,2022-02-15 12:58:36.689,2022-02-15 12:58:36.690,2022-02-15 12:56:27.955
204,259,6548,264,187,334,3636a2a8,2022-02-15 13:59:45.135,2022-02-15 13:59:45.136,2022-02-15 12:57:44.975
205,260,6534,263,225,309,f75d337d,2022-02-15 13:17:46.287,2022-02-15 13:17:46.287,2022-02-15 12:57:46.622
206,261,2,265,243,278,de1f5f71,2022-02-15 13:02:54.247,2022-02-15 13:02:54.247,2022-02-15 12:57:47.593
207,262,6551,266,186,335,8adeea06,2022-02-15 13:56:36.210,2022-02-15 13:56:36.210,2022-02-15 12:57:59.200
208,263,244,267,204,336,bb4e1c85,2022-02-15 14:00:11.992,2022-02-15 14:00:11.992,2022-02-15 12:58:11.653
209,265,6541,269,192,338,d04671c2,2022-02-15 13:57:10.721,2022-02-15 13:57:10.722,2022-02-15 12:58:39.628
210,266,6518,270,204,326,fce0f340,2022-02-15 13:00:01.415,2022-02-15 13:00:01.415,2022-02-15 12:59:01.933
211,267,1423,271,258,315,d7575392,2022-02-15 12:59:34.106,2022-02-15 12:59:34.106,2022-02-15 12:59:26.382
212,268,1423,272,258,315,38ee044d,2022-02-15 12:59:53.629,2022-02-15 12:59:53.630,2022-02-15 12:59:40.971
213,269,6591,273,219,276,864e4984,2022-02-15 13:00:06.203,2022-02-15 13:00:06.203,2022-02-15 12:59:57.620
214,271,1423,276,204,340,ed5b47f6,2022-02-15 13:01:52.714,2022-02-15 13:01:52.714,2022-02-15 13:00:14.349
215,272,6512,275,186,341,ac919844,2022-02-15 13:20:03.360,2022-02-15 13:20:03.360,2022-02-15 13:00:15.624
216,273,6523,277,230,263,b07cadf8,2022-02-15 13:00:46.317,2022-02-15 13:00:46.317,2022-02-15 13:00:22.366
